Mes,Tarifa,Segmento,Unidades,Concepto,Division,Int. Horario,Cargos tarifarios
enero 2020,GDMTO,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0080
enero 2020,DB1,Distribucion,$/kWh,Energia,Baja California,NA,0.7156
enero 2020,DB2,Distribucion,$/kWh,Energia,Baja California,NA,0.8154
enero 2020,PDBT,Distribucion,$/kWh,Energia,Baja California,NA,0.6549
enero 2020,RABT,Distribucion,$/kWh,Energia,Baja California,NA,0.6549
enero 2020,APBT,Distribucion,$/kWh,Energia,Baja California,NA,0.6549
enero 2020,DB1,Distribucion,$/kWh,Energia,Baja California Sur,NA,0.7156
enero 2020,DB2,Distribucion,$/kWh,Energia,Baja California Sur,NA,0.8154
enero 2020,PDBT,Distribucion,$/kWh,Energia,Baja California Sur,NA,0.6549
enero 2020,RABT,Distribucion,$/kWh,Energia,Baja California Sur,NA,0.6549
enero 2020,APBT,Distribucion,$/kWh,Energia,Baja California Sur,NA,0.6549
enero 2020,DB1,Distribucion,$/kWh,Energia,Bajio,NA,1.1202
enero 2020,DB2,Distribucion,$/kWh,Energia,Bajio,NA,0.9600
enero 2020,PDBT,Distribucion,$/kWh,Energia,Bajio,NA,0.9130
enero 2020,RABT,Distribucion,$/kWh,Energia,Bajio,NA,0.9130
enero 2020,APBT,Distribucion,$/kWh,Energia,Bajio,NA,0.9130
enero 2020,DB1,Distribucion,$/kWh,Energia,Centro Occidente,NA,1.5059
enero 2020,DB2,Distribucion,$/kWh,Energia,Centro Occidente,NA,1.2905
enero 2020,PDBT,Distribucion,$/kWh,Energia,Centro Occidente,NA,1.2273
enero 2020,RABT,Distribucion,$/kWh,Energia,Centro Occidente,NA,1.2273
enero 2020,APBT,Distribucion,$/kWh,Energia,Centro Occidente,NA,1.2273
enero 2020,DB1,Distribucion,$/kWh,Energia,Centro Oriente,NA,1.4014
enero 2020,DB2,Distribucion,$/kWh,Energia,Centro Oriente,NA,1.2010
enero 2020,PDBT,Distribucion,$/kWh,Energia,Centro Oriente,NA,1.1422
enero 2020,RABT,Distribucion,$/kWh,Energia,Centro Oriente,NA,1.1422
enero 2020,APBT,Distribucion,$/kWh,Energia,Centro Oriente,NA,1.1422
enero 2020,DB1,Distribucion,$/kWh,Energia,Centro Sur,NA,1.5811
enero 2020,DB2,Distribucion,$/kWh,Energia,Centro Sur,NA,1.3550
enero 2020,PDBT,Distribucion,$/kWh,Energia,Centro Sur,NA,1.2887
enero 2020,RABT,Distribucion,$/kWh,Energia,Centro Sur,NA,1.2887
enero 2020,APBT,Distribucion,$/kWh,Energia,Centro Sur,NA,1.2887
enero 2020,DB1,Distribucion,$/kWh,Energia,Golfo Centro,NA,1.0894
enero 2020,DB2,Distribucion,$/kWh,Energia,Golfo Centro,NA,0.8823
enero 2020,PDBT,Distribucion,$/kWh,Energia,Golfo Centro,NA,1.0936
enero 2020,RABT,Distribucion,$/kWh,Energia,Golfo Centro,NA,1.0936
enero 2020,APBT,Distribucion,$/kWh,Energia,Golfo Centro,NA,1.0936
enero 2020,DB1,Distribucion,$/kWh,Energia,Golfo Norte,NA,0.7926
enero 2020,DB2,Distribucion,$/kWh,Energia,Golfo Norte,NA,0.6419
enero 2020,PDBT,Distribucion,$/kWh,Energia,Golfo Norte,NA,0.7956
enero 2020,RABT,Distribucion,$/kWh,Energia,Golfo Norte,NA,0.7956
enero 2020,APBT,Distribucion,$/kWh,Energia,Golfo Norte,NA,0.7956
enero 2020,DB1,Distribucion,$/kWh,Energia,Jalisco,NA,1.6059
enero 2020,DB2,Distribucion,$/kWh,Energia,Jalisco,NA,1.3762
enero 2020,PDBT,Distribucion,$/kWh,Energia,Jalisco,NA,1.3089
enero 2020,RABT,Distribucion,$/kWh,Energia,Jalisco,NA,1.3089
enero 2020,APBT,Distribucion,$/kWh,Energia,Jalisco,NA,1.3089
enero 2020,DB1,Distribucion,$/kWh,Energia,Noroeste,NA,0.8800
enero 2020,DB2,Distribucion,$/kWh,Energia,Noroeste,NA,0.6953
enero 2020,PDBT,Distribucion,$/kWh,Energia,Noroeste,NA,0.7575
enero 2020,RABT,Distribucion,$/kWh,Energia,Noroeste,NA,0.7575
enero 2020,APBT,Distribucion,$/kWh,Energia,Noroeste,NA,0.7575
enero 2020,DB1,Distribucion,$/kWh,Energia,Norte,NA,1.3188
enero 2020,DB2,Distribucion,$/kWh,Energia,Norte,NA,1.1681
enero 2020,PDBT,Distribucion,$/kWh,Energia,Norte,NA,1.2468
enero 2020,RABT,Distribucion,$/kWh,Energia,Norte,NA,1.2468
enero 2020,APBT,Distribucion,$/kWh,Energia,Norte,NA,1.2468
enero 2020,DB1,Distribucion,$/kWh,Energia,Oriente,NA,1.5294
enero 2020,DB2,Distribucion,$/kWh,Energia,Oriente,NA,1.3107
enero 2020,PDBT,Distribucion,$/kWh,Energia,Oriente,NA,1.2465
enero 2020,RABT,Distribucion,$/kWh,Energia,Oriente,NA,1.2465
enero 2020,APBT,Distribucion,$/kWh,Energia,Oriente,NA,1.2465
enero 2020,DB1,Distribucion,$/kWh,Energia,Peninsular,NA,0.9991
enero 2020,DB2,Distribucion,$/kWh,Energia,Peninsular,NA,0.8271
enero 2020,PDBT,Distribucion,$/kWh,Energia,Peninsular,NA,0.9608
enero 2020,RABT,Distribucion,$/kWh,Energia,Peninsular,NA,0.9608
enero 2020,APBT,Distribucion,$/kWh,Energia,Peninsular,NA,0.9608
enero 2020,DB1,Distribucion,$/kWh,Energia,Sureste,NA,1.3328
enero 2020,DB2,Distribucion,$/kWh,Energia,Sureste,NA,1.1422
enero 2020,PDBT,Distribucion,$/kWh,Energia,Sureste,NA,1.0863
enero 2020,RABT,Distribucion,$/kWh,Energia,Sureste,NA,1.0863
enero 2020,APBT,Distribucion,$/kWh,Energia,Sureste,NA,1.0863
enero 2020,DB1,Distribucion,$/kWh,Energia,Valle de Mexico Centro,NA,0.7364
enero 2020,DB2,Distribucion,$/kWh,Energia,Valle de Mexico Centro,NA,0.6311
enero 2020,PDBT,Distribucion,$/kWh,Energia,Valle de Mexico Centro,NA,0.6002
enero 2020,RABT,Distribucion,$/kWh,Energia,Valle de Mexico Centro,NA,0.6002
enero 2020,APBT,Distribucion,$/kWh,Energia,Valle de Mexico Centro,NA,0.6002
enero 2020,DB1,Distribucion,$/kWh,Energia,Valle de Mexico Norte,NA,0.9426
enero 2020,DB2,Distribucion,$/kWh,Energia,Valle de Mexico Norte,NA,0.8077
enero 2020,PDBT,Distribucion,$/kWh,Energia,Valle de Mexico Norte,NA,0.7682
enero 2020,RABT,Distribucion,$/kWh,Energia,Valle de Mexico Norte,NA,0.7682
enero 2020,APBT,Distribucion,$/kWh,Energia,Valle de Mexico Norte,NA,0.7682
enero 2020,DB1,Distribucion,$/kWh,Energia,Valle de Mexico Sur,NA,0.9116
enero 2020,DB2,Distribucion,$/kWh,Energia,Valle de Mexico Sur,NA,0.7812
enero 2020,PDBT,Distribucion,$/kWh,Energia,Valle de Mexico Sur,NA,0.7430
enero 2020,RABT,Distribucion,$/kWh,Energia,Valle de Mexico Sur,NA,0.7430
enero 2020,APBT,Distribucion,$/kWh,Energia,Valle de Mexico Sur,NA,0.7430
enero 2020,DB1,Generacion,$/kWh,Energia,Baja California,NA,0.5343
enero 2020,DB2,Generacion,$/kWh,Energia,Baja California,NA,0.5341
enero 2020,PDBT,Generacion,$/kWh,Energia,Baja California,NA,0.5777
enero 2020,GDBT,Generacion,$/kWh,Energia,Baja California,NA,0.5845
enero 2020,RABT,Generacion,$/kWh,Energia,Baja California,NA,0.5329
enero 2020,APBT,Generacion,$/kWh,Energia,Baja California,NA,0.4804
enero 2020,APMT,Generacion,$/kWh,Energia,Baja California,NA,0.4128
enero 2020,GDMTH,Generacion,$/kWh,Energia,Baja California,B,0.3677
enero 2020,GDMTH,Generacion,$/kWh,Energia,Baja California,I,0.6658
enero 2020,GDMTH,Generacion,$/kWh,Energia,Baja California,P,0.9586
enero 2020,GDMTO,Generacion,$/kWh,Energia,Baja California,NA,0.4565
enero 2020,RAMT,Generacion,$/kWh,Energia,Baja California,NA,0.5255
enero 2020,DIST,Generacion,$/kWh,Energia,Baja California,B,0.4018
enero 2020,DIST,Generacion,$/kWh,Energia,Baja California,I,0.7274
enero 2020,DIST,Generacion,$/kWh,Energia,Baja California,P,1.0485
enero 2020,DIST,Generacion,$/kWh,Energia,Baja California,SP,0.9843
enero 2020,DIT,Generacion,$/kWh,Energia,Baja California,B,0.4645
enero 2020,DIT,Generacion,$/kWh,Energia,Baja California,I,0.8409
enero 2020,DIT,Generacion,$/kWh,Energia,Baja California,P,1.2082
enero 2020,DIT,Generacion,$/kWh,Energia,Baja California,SP,1.1348
enero 2020,DB1,Generacion,$/kWh,Energia,Baja California Sur,NA,0.7635
enero 2020,DB2,Generacion,$/kWh,Energia,Baja California Sur,NA,0.7615
enero 2020,PDBT,Generacion,$/kWh,Energia,Baja California Sur,NA,2.0691
enero 2020,GDBT,Generacion,$/kWh,Energia,Baja California Sur,NA,2.4917
enero 2020,RABT,Generacion,$/kWh,Energia,Baja California Sur,NA,0.7609
enero 2020,APBT,Generacion,$/kWh,Energia,Baja California Sur,NA,2.5671
enero 2020,APMT,Generacion,$/kWh,Energia,Baja California Sur,NA,1.7257
enero 2020,GDMTH,Generacion,$/kWh,Energia,Baja California Sur,B,1.6742
enero 2020,GDMTH,Generacion,$/kWh,Energia,Baja California Sur,I,2.1720
enero 2020,GDMTH,Generacion,$/kWh,Energia,Baja California Sur,P,3.1272
enero 2020,GDMTO,Generacion,$/kWh,Energia,Baja California Sur,NA,1.8857
enero 2020,RAMT,Generacion,$/kWh,Energia,Baja California Sur,NA,0.7253
enero 2020,DIST,Generacion,$/kWh,Energia,Baja California Sur,B,1.8255
enero 2020,DIST,Generacion,$/kWh,Energia,Baja California Sur,I,2.3682
enero 2020,DIST,Generacion,$/kWh,Energia,Baja California Sur,P,3.4135
enero 2020,DIST,Generacion,$/kWh,Energia,Baja California Sur,SP,0.0000
enero 2020,DIT,Generacion,$/kWh,Energia,Baja California Sur,B,2.1359
enero 2020,DIT,Generacion,$/kWh,Energia,Baja California Sur,I,2.6939
enero 2020,DIT,Generacion,$/kWh,Energia,Baja California Sur,P,3.8705
enero 2020,DIT,Generacion,$/kWh,Energia,Baja California Sur,SP,0.0000
enero 2020,DB1,Generacion,$/kWh,Energia,Bajio,NA,0.6918
enero 2020,DB2,Generacion,$/kWh,Energia,Bajio,NA,0.6889
enero 2020,PDBT,Generacion,$/kWh,Energia,Bajio,NA,1.4421
enero 2020,GDBT,Generacion,$/kWh,Energia,Bajio,NA,1.4570
enero 2020,RABT,Generacion,$/kWh,Energia,Bajio,NA,0.6751
enero 2020,APBT,Generacion,$/kWh,Energia,Bajio,NA,1.2824
enero 2020,APMT,Generacion,$/kWh,Energia,Bajio,NA,1.0339
enero 2020,GDMTH,Generacion,$/kWh,Energia,Bajio,B,0.7579
